Model,Target,Opt_Threshold,Accuracy,Recall,F3_Score,Log_Loss
AutoGluon_Chain,A_V_BLOK,0.17,0.929412,0.727273,0.625000,0.173412
PyTorch_NN,A_V_BLOK,0.01,0.570588,0.636364,0.282258,0.515083
XGBoost_Optimized,A_V_BLOK,0.01,0.032353,1.000000,0.250569,0.957901
AutoGluon_Chain,DRESSLER,0.19,0.582353,0.705882,0.397351,0.280274
XGBoost_Optimized,DRESSLER,0.48,0.397059,0.764706,0.354223,0.668127
PyTorch_NN,DRESSLER,0.01,0.535294,0.588235,0.318471,1.044371
AutoGluon_Chain,FIBR_JELUD,0.42,0.717647,0.692308,0.412844,0.453544
XGBoost_Optimized,FIBR_JELUD,0.46,0.529412,0.846154,0.384615,0.643458
PyTorch_NN,FIBR_JELUD,0.01,0.576471,0.538462,0.267176,0.852276
AutoGluon_Chain,FIBR_PREDS,0.29,0.632353,0.771429,0.588235,0.402177
XGBoost_Optimized,FIBR_PREDS,0.20,0.632353,0.714286,0.549451,0.379864
PyTorch_NN,FIBR_PREDS,0.22,0.514706,0.685714,0.486815,1.398757
AutoGluon_Chain,JELUD_TAH,0.27,0.905882,0.750000,0.428571,0.235510
XGBoost_Optimized,JELUD_TAH,0.51,0.850000,0.750000,0.337079,0.639254
PyTorch_NN,JELUD_TAH,0.29,0.782353,0.750000,0.267857,0.499525
XGBoost_Optimized,OTEK_LANC,0.38,0.688235,0.739130,0.524691,0.462680
AutoGluon_Chain,OTEK_LANC,0.28,0.500000,0.826087,0.484694,0.420888
PyTorch_NN,OTEK_LANC,0.24,0.544118,0.695652,0.431267,1.258511
XGBoost_Optimized,PREDS_TAH,0.41,0.932353,0.666667,0.392157,0.175755
AutoGluon_Chain,PREDS_TAH,0.14,0.911765,0.666667,0.344828,0.152028
PyTorch_NN,PREDS_TAH,0.01,0.635294,0.333333,0.066667,0.279589
XGBoost_Optimized,P_IM_STEN,0.47,0.720588,0.678571,0.532213,0.492857
AutoGluon_Chain,P_IM_STEN,0.33,0.708824,0.678571,0.526316,0.418904
PyTorch_NN,P_IM_STEN,0.55,0.629412,0.678571,0.489691,1.395189
AutoGluon_Chain,RAZRIV,0.38,0.902941,0.727273,0.583942,0.355525
PyTorch_NN,RAZRIV,0.53,0.894118,0.727273,0.571429,0.272918
XGBoost_Optimized,RAZRIV,0.01,0.808824,0.818182,0.526316,0.128387
AutoGluon_Chain,REC_IM,0.19,0.594118,0.678571,0.475000,0.322227
PyTorch_NN,REC_IM,0.26,0.517647,0.678571,0.446009,1.502149
XGBoost_Optimized,REC_IM,0.36,0.408824,0.678571,0.410367,0.556806
PyTorch_NN,ZSN,0.97,0.676471,0.725000,0.669746,2.094854
XGBoost_Optimized,ZSN,0.47,0.717647,0.675000,0.639810,0.616745
AutoGluon_Chain,ZSN,0.36,0.685294,0.675000,0.631579,0.506224
